#online:true
#name:ANSI(Big5)
#id:big5@big5
#type:bin
#pattern:
#base:
#description:BIG5碼又稱為大五碼，為民國73年所提出的常用電腦漢字集內碼，以2個位元組(byte)編碼，內含13,051個中文字，適用於Windows95／98／ME等以上作業系統及大部分的應用程式。
01-4D61	A9DF
01-4D62	A9E0
01-4D63	A9E1
01-4D64	A9E2
01-4D65	A9E3
01-4D66	A9E4
01-4D67	A9E5
01-4D68	A9E6
01-4D69	A9E7
01-4D6A	A9E8
01-4D6B	A9E9
01-4D6C	A9EA
01-4D6D	A9EB
01-4D6E	A9EC
01-4D6F	A9ED
01-4D70	A9EE
01-4D71	A9EF
01-4D72	A9F0
01-4D73	A9F1
01-4D74	A9F2
01-4D75	A9F3
01-4D76	A9F4
01-4D77	A9F5
01-4D78	A9F6
01-4D79	A9F7
01-4D7A	A9F8
01-4D7B	A9F9
01-4D7C	A9FA
01-4D7D	A9FB
01-4D7E	A9FC
01-4E21	A9FD
01-4E22	A9FE
01-4E23	AA40
01-4E24	AA41
01-4E25	AA42
01-4E26	AA43
01-4E27	AA44
01-4E28	AA45
01-4E29	AA46
01-4E2A	AA47
01-4E2B	AA48
01-4E2C	AA49
01-4E2D	AA4A
01-4E2E	AA4B
01-4E2F	AA4C
01-4E30	AA4D
01-4E31	AA4E
01-4E32	AA4F
01-4E33	AA50
01-4E34	AA51
01-4E35	AA52
01-4E36	AA53
01-4E37	AA54
01-4E38	AA55
01-4E39	AA56
01-4E3A	AA57
01-4E3B	AA58
01-4E3C	AA59
01-4E3D	AA5A
01-4E3E	AA5B
01-4E3F	AA5C
01-4E40	AA5D
01-4E41	AA5E
01-4E42	AA5F
01-4E43	AA60
01-4E44	AA61
01-4E45	AA62
01-4E46	AA63
01-4E47	AA64
01-4E48	AA65
01-4E49	AA66
01-4E4A	AA67
01-4E4B	AA68
01-4E4C	AA69
01-4E4D	AA6A
01-4E4E	AA6B
01-4E4F	AA6C
01-4E50	AA6D
01-4E51	AA6E
01-4E52	AA6F
01-4E53	AA70
01-4E54	AA71
01-4E55	AA72
01-4E56	AA73
01-4E57	AA74
01-4E58	AA75
01-4E59	AA76
01-4E5A	AA77
01-4E5B	AA78
01-4E5C	AA79
01-4E5D	AA7A
01-4E5E	AA7B
01-4E5F	AA7C
01-4E60	AA7D
01-4E61	AA7E
01-4E62	AAA1
01-4E63	AAA2
01-4E64	AAA3
01-4E65	AAA4
01-4E66	AAA5
01-4E67	AAA6
01-4E68	AAA7
01-4E69	AAA8
01-4E6A	AAA9
01-4E6B	AAAA
01-4E6C	AAAB
01-4E6D	AAAC
01-4E6E	AAAD
01-4E6F	AAAE
01-4E70	AAAF
01-4E71	AAB0
01-4E72	AAB1
01-4E73	AAB2
01-4E74	AAB3
01-4E75	AAB4
01-4E76	AAB5
01-4E77	AAB6
01-4E78	AAB7
01-4E79	AAB8
01-4E7A	AAB9
01-4E7B	AABA
01-4E7C	AABB
01-4E7D	AABC
01-4E7E	AABD
01-4F21	AABE
01-4F22	AABF
01-4F23	AAC0
01-4F24	AAC1
01-4F25	AAC2
01-4F26	AAC3
01-4F27	AAC4
01-4F28	AAC5
01-4F29	AAC6
01-4F2A	AAC7
01-4F2B	AAC8
01-4F2C	AAC9
01-4F2D	AACA
01-4F2E	AACB
01-4F2F	AACC
01-4F30	AACD
01-4F31	AACE
01-4F32	AACF
01-4F33	AAD0
01-4F34	AAD1
01-4F35	AAD2
01-4F36	AAD3
01-4F37	AAD4
01-4F38	AAD5
01-4F39	AAD6
01-4F3A	AAD7
01-4F3B	AAD8
01-4F3C	AAD9
01-4F3D	AADA
01-4F3E	AADB
01-4F3F	AADC
01-4F40	AADD
01-4F41	AADE
01-4F42	AADF
01-4F43	AAE0
01-4F44	AAE1
01-4F45	AAE2
01-4F46	AAE3
01-4F47	AAE4
01-4F48	AAE5
01-4F49	AAE6
01-4F4A	AAE7
01-4F4B	AAE8
01-4F4C	AAE9
01-4F4D	AAEA
01-4F4E	AAEB
01-4F4F	AAEC
01-4F50	AAED
01-4F51	AAEE
01-4F52	AAEF
01-4F53	AAF0
01-4F54	AAF1
01-4F55	AAF2
01-4F56	AAF3
01-4F57	AAF4
01-4F58	AAF5
01-4F59	AAF6
01-4F5A	AAF7
01-4F5B	AAF8
01-4F5C	AAF9
01-4F5D	AAFA
01-4F5E	AAFB
01-4F5F	AAFC
01-4F60	AAFD
01-4F61	AAFE
01-4F62	AB40
01-4F63	AB41
01-4F64	AB42
01-4F65	AB43
01-4F66	AB44
01-4F67	AB45
01-4F68	AB46
01-4F69	AB47
01-4F6A	AB48
01-4F6B	AB49
01-4F6C	AB4A
01-4F6D	AB4B
01-4F6E	AB4C
01-4F6F	AB4D
01-4F70	AB4E
01-4F71	AB4F
01-4F72	AB50
01-4F73	AB51
01-4F74	AB52
01-4F75	AB53
01-4F76	AB54
01-4F77	AB55
01-4F78	AB56
01-4F79	AB57
